class	property	type	description	accepted_types
Demand	businessFunction	BusinessFunction	The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.	BusinessFunction or BusinessFunction or BusinessFunction
BusTrip	busNumber	Text	The unique identifier for the bus.	Text
BusTrip	busName	Text	The name of the bus (e.g. Bolt Express).	Text
WebApplication	browserRequirements	Text	Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.	Text
Service	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Service	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Reservation	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Reservation	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Order	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Order	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Invoice	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
Invoice	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.	Person or Organization or Person or Organization or Person or Organization or Person or Organization
BroadcastService	broadcaster	Organization	The organization owning or operating the broadcast service.	Organization
BroadcastService	broadcastTimezone	Text	The timezone in [ISO 8601 format](http://en.wikipedia.org/wiki/ISO_8601) for which the service bases its broadcasts	Text
BroadcastChannel	broadcastServiceTier	Text	The type of service required to have access to the channel (e.g. Standard or Premium).	Text
BroadcastEvent	broadcastOfEvent	Event	The event being broadcast such as a sporting event or awards ceremony.	Event
BroadcastService	broadcastDisplayName	Text	The name displayed in the channel guide. For many US affiliates, it is the network name.	Text
BroadcastChannel	broadcastChannelId	Text	The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.	Text
BroadcastService	broadcastAffiliateOf	Organization	The media network(s) whose content is broadcast on this station.	Organization
WebPage	breadcrumb	Text	A set of links that can help a user understand and navigate a website hierarchy.	Text or BreadcrumbList
WebPage	breadcrumb	BreadcrumbList	A set of links that can help a user understand and navigate a website hierarchy.	Text or BreadcrumbList
Service	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Service	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Product	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Product	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Person	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Person	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Organization	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
Organization	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.	Organization or Brand or Organization or Brand or Organization or Brand or Organization or Brand
LocalBusiness	branchOf	Organization	The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical)[[branch]].	Organization
Place	branchCode	Text	"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.\n\nFor example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch.
"	Text
GeoShape	box	Text	A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.	Text
LendAction	borrower	Person	A sub property of participant. The person that borrows the object being lent.	Person
Reservation	bookingTime	DateTime	The date and time the reservation was booked.	DateTime
Reservation	bookingAgent	Person	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.	Person or Organization
Reservation	bookingAgent	Organization	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.	Person or Organization
Book	bookFormat	BookFormatType	The format of the book.	BookFormatType
Book	bookEdition	Text	The edition of the book.	Text
Flight	boardingPolicy	BoardingPolicyType	The type of boarding policy used by the airline (e.g. zone-based or group-based).	BoardingPolicyType or BoardingPolicyType
Airline	boardingPolicy	BoardingPolicyType	The type of boarding policy used by the airline (e.g. zone-based or group-based).	BoardingPolicyType or BoardingPolicyType
FlightReservation	boardingGroup	Text	The airline-specific indicator of boarding order / preference.	Text
Blog	blogPosts	BlogPosting	The postings that are part of this blog.	BlogPosting
Blog	blogPost	BlogPosting	A posting that is part of this blog.	BlogPosting
MediaObject	bitrate	Text	The bitrate of the media object.	Text
Person	birthPlace	Place	The place where the person was born.	Place
Person	birthDate	Date	Date of birth.	Date
Invoice	billingPeriod	Duration	The time interval used to compute the invoice.	Duration
UnitPriceSpecification	billingIncrement	Number	This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.	Number
Order	billingAddress	PostalAddress	The billing address for the order.	PostalAddress
Rating	bestRating	Text	The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.	Text or Number
Rating	bestRating	Number	The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.	Text or Number
JobPosting	benefits	Text	Description of benefits associated with the job.	Text
HowToDirection	beforeMedia	MediaObject	A media object representing the circumstances before performing this direction.	MediaObject
Suite	bed	Text	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."	Text or BedDetails or Text or BedDetails
Suite	bed	BedDetails	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."	Text or BedDetails or Text or BedDetails
HotelRoom	bed	Text	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."	Text or BedDetails or Text or BedDetails
HotelRoom	bed	BedDetails	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."	Text or BedDetails or Text or BedDetails
Message	bccRecipient	Person	A sub property of recipient. The recipient blind copied on a message.	Person or Organization or ContactPoint
Message	bccRecipient	Organization	A sub property of recipient. The recipient blind copied on a message.	Person or Organization or ContactPoint
Message	bccRecipient	ContactPoint	A sub property of recipient. The recipient blind copied on a message.	Person or Organization or ContactPoint
JobPosting	baseSalary	PriceSpecification	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
JobPosting	baseSalary	Number	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
JobPosting	baseSalary	MonetaryAmount	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
EmployeeRole	baseSalary	PriceSpecification	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
EmployeeRole	baseSalary	Number	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
EmployeeRole	baseSalary	MonetaryAmount	The base salary of the job or of an employee in an EmployeeRole.	PriceSpecification or Number or MonetaryAmount or PriceSpecification or Number or MonetaryAmount
SportsEvent	awayTeam	SportsTeam	The away team in a sports event.	SportsTeam or Person
SportsEvent	awayTeam	Person	The away team in a sports event.	SportsTeam or Person
Product	awards	Text	Awards won by or for this item.	Text or Text or Text or Text
Person	awards	Text	Awards won by or for this item.	Text or Text or Text or Text
Organization	awards	Text	Awards won by or for this item.	Text or Text or Text or Text
CreativeWork	awards	Text	Awards won by or for this item.	Text or Text or Text or Text
Service	award	Text	An award won by or for this item.	Text or Text or Text or Text or Text
Product	award	Text	An award won by or for this item.	Text or Text or Text or Text or Text
Person	award	Text	An award won by or for this item.	Text or Text or Text or Text or Text
Organization	award	Text	An award won by or for this item.	Text or Text or Text or Text or Text
CreativeWork	award	Text	An award won by or for this item.	Text or Text or Text or Text or Text
DeliveryEvent	availableThrough	DateTime	After this date, the item will no longer be available for pickup.	DateTime
SoftwareApplication	availableOnDevice	Text	Device required to run the application. Used in cases where a specific make/model is required to run the application.	Text
TouristAttraction	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
TouristAttraction	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
ServiceChannel	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
ServiceChannel	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
LodgingBusiness	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
LodgingBusiness	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
ContactPoint	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
ContactPoint	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]	Text or Language or Text or Language or Text or Language or Text or Language
DeliveryEvent	availableFrom	DateTime	When the item is available for pickup from the store, locker, etc.	DateTime
Offer	availableDeliveryMethod	DeliveryMethod	The delivery method(s) available for this offer.	DeliveryMethod or DeliveryMethod
Demand	availableDeliveryMethod	DeliveryMethod	The delivery method(s) available for this offer.	DeliveryMethod or DeliveryMethod
Service	availableChannel	ServiceChannel	A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).	ServiceChannel
Offer	availableAtOrFrom	Place	The place(s) from which the offer can be obtained (e.g. store locations).	Place or Place
Demand	availableAtOrFrom	Place	The place(s) from which the offer can be obtained (e.g. store locations).	Place or Place
Offer	availabilityStarts	DateTime	The beginning of the availability of the product or service included in the offer.	DateTime or DateTime
Demand	availabilityStarts	DateTime	The beginning of the availability of the product or service included in the offer.	DateTime or DateTime
Offer	availabilityEnds	DateTime	The end of the availability of the product or service included in the offer.	DateTime or DateTime
Demand	availabilityEnds	DateTime	The end of the availability of the product or service included in the offer.	DateTime or DateTime
Offer	availability	ItemAvailability	The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.	ItemAvailability or ItemAvailability
Demand	availability	ItemAvailability	The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.	ItemAvailability or ItemAvailability
Rating	author	Person	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.	Person or Organization or Person or Organization
Rating	author	Organization	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.	Person or Organization or Person or Organization
CreativeWork	author	Person	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.	Person or Organization or Person or Organization
CreativeWork	author	Organization	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.	Person or Organization or Person or Organization
CreativeWork	audio	AudioObject	An embedded audio object.	AudioObject
Audience	audienceType	Text	The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).	Text
Service	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
Product	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
PlayAction	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
LodgingBusiness	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
Event	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
CreativeWork	audience	Audience	An intended audience, i.e. a group for whom something was created.	Audience or Audience or Audience or Audience or Audience or Audience
Event	attendees	Person	A person attending the event.	Person or Organization
Event	attendees	Organization	A person attending the event.	Person or Organization
Event	attendee	Person	A person or organization attending the event.	Person or Organization
Event	attendee	Organization	A person or organization attending the event.	Person or Organization
SportsTeam	athlete	Person	A person that acts as performing member of a sports team; a player as opposed to a coach.	Person
CreativeWork	associatedMedia	MediaObject	A media object that encodes this CreativeWork. This property is a synonym for encoding.	MediaObject
MediaObject	associatedArticle	NewsArticle	A NewsArticle associated with the Media Object.	NewsArticle
APIReference	assemblyVersion	Text	Associated product/technology version. e.g., .NET Framework 4.5.	Text
APIReference	assembly	Text	Library file name e.g., mscorlib.dll, system.web.dll.	Text
VisualArtwork	artworkSurface	URL	The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.	URL or Text
VisualArtwork	artworkSurface	Text	The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.	URL or Text
Article	articleSection	Text	Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.	Text
Article	articleBody	Text	The actual body of the article.	Text
VisualArtwork	artform	URL	e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.	URL or Text
VisualArtwork	artform	Text	e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.	URL or Text
VisualArtwork	artMedium	URL	The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)	URL or Text
VisualArtwork	artMedium	Text	The material used. (e.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)	URL or Text
VisualArtwork	artEdition	Text	"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."	Text or Integer
VisualArtwork	artEdition	Integer	"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."	Text or Integer
Trip	arrivalTime	DateTime	The expected arrival time.	DateTime
Flight	arrivalTerminal	Text	Identifier of the flight's arrival terminal.	Text
TrainTrip	arrivalStation	TrainStation	The station where the train trip ends.	TrainStation
TrainTrip	arrivalPlatform	Text	The platform where the train arrives.	Text
Flight	arrivalGate	Text	Identifier of the flight's arrival gate.	Text
BusTrip	arrivalBusStop	BusStop	The stop or station from which the bus arrives.	BusStop or BusStation
BusTrip	arrivalBusStop	BusStation	The stop or station from which the bus arrives.	BusStop or BusStation
Flight	arrivalAirport	Airport	The airport where the flight terminates.	Airport
Service	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Service	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Service	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Service	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Organization	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Organization	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Organization	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Organization	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Offer	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Offer	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Offer	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Offer	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Demand	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Demand	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Demand	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
Demand	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
DeliveryChargeSpecification	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
DeliveryChargeSpecification	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
DeliveryChargeSpecification	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
DeliveryChargeSpecification	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
ContactPoint	areaServed	Text	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
ContactPoint	areaServed	Place	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
ContactPoint	areaServed	GeoShape	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
ContactPoint	areaServed	AdministrativeArea	The geographic area where a service or offered item is provided.	Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea or Text or Place or GeoShape or AdministrativeArea
BroadcastService	area	Place	The area within which users can expect to reach the broadcast service.	Place
PaymentChargeSpecification	appliesToPaymentMethod	PaymentMethod	The payment method(s) to which the payment charge specification applies.	PaymentMethod
PaymentChargeSpecification	appliesToDeliveryMethod	DeliveryMethod	The delivery method(s) to which the delivery charge or payment charge specification applies.	DeliveryMethod or DeliveryMethod
DeliveryChargeSpecification	appliesToDeliveryMethod	DeliveryMethod	The delivery method(s) to which the delivery charge or payment charge specification applies.	DeliveryMethod or DeliveryMethod
SoftwareApplication	applicationSuite	Text	The name of the application suite to which the application belongs (e.g. Excel belongs to Office).	Text
SoftwareApplication	applicationSubCategory	URL	Subcategory of the application, e.g. 'Arcade Game'.	URL or Text
SoftwareApplication	applicationSubCategory	Text	Subcategory of the application, e.g. 'Arcade Game'.	URL or Text
SoftwareApplication	applicationCategory	URL	Type of software application, e.g. 'Game, Multimedia'.	URL or Text
SoftwareApplication	applicationCategory	Text	Type of software application, e.g. 'Game, Multimedia'.	URL or Text
EntryPoint	application	SoftwareApplication	An application that can complete the request.	SoftwareApplication
Question	answerCount	Integer	The number of answers this question has received.	Integer
FinancialProduct	annualPercentageRate	QuantitativeValue	The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.	QuantitativeValue or Number
FinancialProduct	annualPercentageRate	Number	The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.	QuantitativeValue or Number
TypeAndQuantityNode	amountOfThisGood	Number	The quantity of the goods included in the offer.	Number
LoanOrCredit	amount	Number	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
LoanOrCredit	amount	MonetaryAmount	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
InvestmentOrDeposit	amount	Number	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
InvestmentOrDeposit	amount	MonetaryAmount	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
DatedMoneySpecification	amount	Number	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
DatedMoneySpecification	amount	MonetaryAmount	The amount of money.	Number or MonetaryAmount or Number or MonetaryAmount or Number or MonetaryAmount
Place	amenityFeature	LocationFeatureSpecification	An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.	LocationFeatureSpecification or LocationFeatureSpecification or LocationFeatureSpecification
